"","x"
"242",0.128156079714665
"243",0.501811789252027
"244",1.87904791929715
"245",0.043405944980597
"246",0.136698948868388
"247",0.846250267578007
"248",1.31362118292955
"249",0.2143479539996
"250",0.429595175965547
"251",0.727710382094107
"252",0.652034135567519
"253",0.948851728151438
"254",0.0686932149328064
"255",0.0774889244197985
"256",0.0789566008391935
"257",0.317262147330553
"258",0.451770460152219
"259",0.179628498484522
"260",0.985899401598881
"261",0.192362672689354
"262",0.206464177012777
"263",0.172108470305596
"264",0.275024105473324
"265",0.351522905509986
"266",0.2966536581599
"267",0.123687310999332
"268",0.036718533869541
"269",0.208916763719605
"270",0.0112530942295266
"271",0.190979666293868
"272",0.906617308164632
"273",0.235338736754072
"274",1.22656585796806
"275",0.0444127307407011
"276",0.367654489243332
"277",0.872389751924946
"278",0.701421409833644
"279",0.18253339882355
"280",0.21441341771086
"281",0.149349618376679
"282",0.259285751150702
"283",0.821530005558041
"284",1.12919780652545
"285",1.1616937047474
"286",0.0793439466438784
"287",1.28999766101126
"288",0.0414790703187034
"289",2.52935925968879
"290",0.500025774939292
"291",0.199785652047603
"292",0.18935976902418
"293",0.229325009973081
"294",0.414811016912059
"295",1.66580754239383
"296",0.333123292567901
"297",0.581109582651035
"298",0.498343931532132
"299",0.574783374184025
"300",9.60043777858578
"301",0.385888809682959
"302",2.34793397535729
"303",0.360693447859221
"304",0.72584681505669
"305",2.03391872853162
"306",0.294760790976442
"307",2.09951996448835
"308",0.381898391367212
"309",2.30183755371162
"310",0.00857285353675649
"311",1.97363050724147
"312",0.756009787538545
"313",0.16801670404389
"314",13.0444916460071
"315",0.285259589061592
"316",0.800529096883778
"317",0.559158700240345
"318",0.0952786999471744
"319",0.296741912809919
"320",0.761638822349735
"321",0.742955353479141
"322",0.583154380448187
"323",0.355861188909551
"324",0.636785180978053
"325",0.187972403791209
"326",0.0535968876821787
"327",0.288463421971864
"328",0.16451495287335
"329",0.050392065711689
"330",1587.3251458573
"331",0.294223491059117
"332",0.489730197832155
"333",0.0377254335700175
"334",0.214830890147759
"335",0.115495302321146
"336",0.217407018876058
"337",0.42938416150537
"338",0.214050147542721
"339",0.225616347789324
"340",0.19682504610921
"341",0.196351440502275
"342",0.116337696586881
"343",0.356378489473806
"344",0.954591153318814
"345",0.0165140636248996
"346",1.63008606061422
"347",35828.2587891852
"348",4.25485063718322
"349",0.0562933723775362
"350",0.0435281048830015
"351",0.103249086765558
"352",1.57201478126159
"353",0.287753184364614
"354",0.528696456639966
"355",0.0527580807857042
"356",1.25028767454603
"357",0.068008768985854
"358",0.224896804502906
"359",0.732516127652068
"360",0.0935293714173017
"361",0.492923794848081
"362",0.0891286733472933
"363",0.246646478416203
"364",0.0464037467517566
"365",0.142427777249509
"366",0.327682252209061
"367",0.790573409546285
"368",0.158006616419505
"369",0.0228971548588052
"370",0.241484906473716
"371",0.585484095557608
"372",0.316516510027032
"373",0.372226157738845
"374",0.524091993161825
"375",1.23690794144237
"376",0.195934512481202
"377",0.0210687210020257
"378",1.36448637215955
"379",0.233740922565203
"380",0.00491857824424995
"381",0.326749796667718
"382",0.0273589474456477
"383",0.480770112515148
"384",0.0149150190856504
"385",1.52516769661273
"386",0.183502468493228
"387",1.34935083173788
"388",29830.9362121205
"389",1.69541941887682
"390",5.94620646610174
"391",0.0259584218380375
"392",0.0609601513615265
"393",0.0408930901023405
"394",0.267812362877228
"395",0.778578177261875
"396",0.333951639611679
"397",0.372137961598094
"398",0.0787119197782536
"399",0.135370865825143
"400",0.0837874656460066
"401",3.53865161057235
"402",13.4660634970878
"403",1.15120758294624
"404",0.465598572496629
"405",0.678277360878614
"406",0.106125259330519
"407",0.0528515306429899
"408",0.05516060265879
"409",2.00873354140086
"410",0.273646458054978
"411",3.51422923791323
"412",0.535346759279281
"413",1.09198366761684
"414",2696.66747379051
"415",1.95968670632978
"416",0.281153047646758
"417",2.19700854798688
"418",12170.2062323388
"419",0.0331361401398445
"420",0.925748016748395
"421",0.69109335791709
"422",0.0908728407575852
"423",0.30924941115897
"424",0.95030678816092
"425",0.216206830860403
"426",0.140790879845384
"427",0.12528958422638
"428",0.338615829499892
"429",1.15241610355996
"430",0.524005133314943
"431",0.105173921578166
"432",0.335327834353976
"433",2.35054173193541
"434",0.130269932950808
"435",0.256208024345472
"436",0.631887077891185
"437",1.3022580582384
"438",0.923249352919944
"439",0.202510701044414
"440",1.32107791832418
"441",0.570937943785584
"442",0.406655504894923
"443",0.318392993294873
"444",0.577313448151378
"445",1.48342682064685
"446",0.436443475357747
"447",0.652777352427672
"448",0.381967937328969
"449",0.0449786032711593
"450",1.45552507346498
"451",1.023236699633
"452",0.666589544496793
"453",1.69990376708617
"454",0.145315327224704
"455",1.31492508737738
"456",1.39000610224524
"457",0.0879980051466219
"458",0.0729750732029248
"459",0.046319463057191
"460",0.292789287883989
"461",0.00493538044246903
"462",1.57364881693876
"463",0.135678040216745
"464",0.158608840884232
"465",1.25699122597092
"466",1.22980124817619
"467",1.12032899229218
"468",0.0647964723867796
"469",0.854281776149223
"470",0.359294392879089
"471",0.24944529991757
"472",5.570350905792
"473",0.0248414384253022
"474",0.892439296002913
"475",1.30937963867373
"476",0.0802220169797283
"477",0.0702565926524172
"478",0.109144374059929
"479",0.115865008274742
"480",0.0184974810163411
"481",0.0559948230388832
"482",0.0147716360269655
"483",0.0600019238490188
"484",0.0162506265726974
"485",0.0976852480139536
"486",10.9529468241707
"487",0.138710293855499
"488",0.202721656237453
"489",0.0444163952409029
"490",30218.8058106154
"491",0.415086915111334
"492",0.551604898046969
"493",1.44321045715303
"494",0.534371975035931
"495",0.658694755206361
"496",0.514725716835765
"497",1.04875559304916
"498",2.28517541745878
"499",0.561840710212482
